word,category,meaning,complexity,examples
lösen_var126,aktionen,Bedeutung erfassen (Variante),4,"['Ich lösen_var126 darüber.', 'Wir müssen lösen_var126.', 'Lösen_var126 ist wichtig.']"
rennenspringen,bewegungen,Sich schnell fortbewegen (Variante),2,"['Ich kann rennenspringen.', 'Wir rennenspringen zusammen.', 'Rennenspringen ist eine Bewegung.']"
danne,logik,Negation (Variante),5,"['Danne das stimmt.', 'Das ist danne wahr.', 'Danne bedeutet...']"
kriechen_var107,bewegungen,Sich drehend bewegen (Variante),2,"['Ich kann kriechen_var107.', 'Wir kriechen_var107 zusammen.', 'Kriechen_var107 ist eine Bewegung.']"
denkenlernen,aktionen,Vorgehensweise festlegen (Variante),4,"['Ich denkenlernen darüber.', 'Wir müssen denkenlernen.', 'Denkenlernen ist wichtig.']"
erschaffen_var118,aktionen,Bedeutung erfassen (Variante),4,"['Ich erschaffen_var118 darüber.', 'Wir müssen erschaffen_var118.', 'Erschaffen_var118 ist wichtig.']"
nicht_var118,logik,Verbindung (Variante),5,"['Nicht_var118 das stimmt.', 'Das ist nicht_var118 wahr.', 'Nicht_var118 bedeutet...']"
deshalbund,logik,Vollständige Menge (Variante),5,"['Deshalbund das stimmt.', 'Das ist deshalbund wahr.', 'Deshalbund bedeutet...']"
dreieins,zahlen,Zahl 1 (Variante),1,"['Ich zähle bis dreieins.', 'Dreieins Dinge.', 'Das sind dreieins Objekte.']"
achtdrei,zahlen,Zahl 8 (Variante),1,"['Ich zähle bis achtdrei.', 'Achtdrei Dinge.', 'Das sind achtdrei Objekte.']"
erschaffenlernen,aktionen,Wissen aufnehmen (Variante),4,"['Ich erschaffenlernen darüber.', 'Wir müssen erschaffenlernen.', 'Erschaffenlernen ist wichtig.']"
springenschwimmen,bewegungen,Sich durch die Luft bewegen (Variante),2,"['Ich kann springenschwimmen.', 'Wir springenschwimmen zusammen.', 'Springenschwimmen ist eine Bewegung.']"
orangerosa,farben,Helle rote Farbe (Variante),1,"['Das ist orangerosa.', 'Ich sehe etwas orangerosaes.', 'Orangerosa ist eine Farbe.']"
gleitenrennen,bewegungen,Sich am Boden fortbewegen (Variante),2,"['Ich kann gleitenrennen.', 'Wir gleitenrennen zusammen.', 'Gleitenrennen ist eine Bewegung.']"
rennentanzen,bewegungen,Sich schnell fortbewegen (Variante),2,"['Ich kann rennentanzen.', 'Wir rennentanzen zusammen.', 'Rennentanzen ist eine Bewegung.']"
denkenerschaffen,aktionen,Geistige Tätigkeit (Variante),4,"['Ich denkenerschaffen darüber.', 'Wir müssen denkenerschaffen.', 'Denkenerschaffen ist wichtig.']"
telefoncomputer,objekte,Fahrzeug für Straßen (Variante),1,"['Das ist ein telefoncomputer.', 'Ich brauche einen telefoncomputer.', 'Der telefoncomputer ist hier.']"
grün,farben,Farbe der Blätter,1,"['Das ist grün.', 'Ich sehe etwas grünes.', 'Grün ist eine Farbe.']"
fliegenschwimmen,bewegungen,Sich in die Luft bewegen (Variante),2,"['Ich kann fliegenschwimmen.', 'Wir fliegenschwimmen zusammen.', 'Fliegenschwimmen ist eine Bewegung.']"
kriechentanzen,bewegungen,Sich schnell fortbewegen (Variante),2,"['Ich kann kriechentanzen.', 'Wir kriechentanzen zusammen.', 'Kriechentanzen ist eine Bewegung.']"
entscheiden_var114,aktionen,Problem beheben (Variante),4,"['Ich entscheiden_var114 darüber.', 'Wir müssen entscheiden_var114.', 'Entscheiden_var114 ist wichtig.']"
fünf_var122,zahlen,Zahl 6 (Variante),1,"['Ich zähle bis fünf_var122.', 'Fünf_var122 Dinge.', 'Das sind fünf_var122 Objekte.']"
einige_var126,logik,Verbindung (Variante),5,"['Einige_var126 das stimmt.', 'Das ist einige_var126 wahr.', 'Einige_var126 bedeutet...']"
hungrig,zustände,Bedürfnis nach Nahrung,2,"['Ich bin hungrig.', 'Du siehst hungrig aus.', 'Hungrig fühlen ist normal.']"
sieben,zahlen,Zahl 7,1,"['Ich zähle bis sieben.', 'Sieben Dinge.', 'Das sind sieben Objekte.']"
springenrennen,bewegungen,Reibungslos bewegen (Variante),2,"['Ich kann springenrennen.', 'Wir springenrennen zusammen.', 'Springenrennen ist eine Bewegung.']"
nicht_var114,logik,Schlussfolgerung (Variante),5,"['Nicht_var114 das stimmt.', 'Das ist nicht_var114 wahr.', 'Nicht_var114 bedeutet...']"
achte,zahlen,Zahl 7 (Variante),1,"['Ich zähle bis achte.', 'Achte Dinge.', 'Das sind achte Objekte.']"
fünfacht,zahlen,Zahl 2 (Variante),1,"['Ich zähle bis fünfacht.', 'Fünfacht Dinge.', 'Das sind fünfacht Objekte.']"
rennen_var136,bewegungen,Sehr schnell laufen (Variante),2,"['Ich kann rennen_var136.', 'Wir rennen_var136 zusammen.', 'Rennen_var136 ist eine Bewegung.']"
braungrün,farben,Farbe der Sonne (Variante),1,"['Das ist braungrün.', 'Ich sehe etwas braungrünes.', 'Braungrün ist eine Farbe.']"
zweineun,zahlen,Zahl 2 (Variante),1,"['Ich zähle bis zweineun.', 'Zweineun Dinge.', 'Das sind zweineun Objekte.']"
computer_var131,objekte,Gerät zur Kommunikation (Variante),1,"['Das ist ein computer_var131.', 'Ich brauche einen computer_var131.', 'Der computer_var131 ist hier.']"
kalthungrig,zustände,Negative Emotion (Variante),2,"['Ich bin kalthungrig.', 'Du siehst kalthungrig aus.', 'Kalthungrig fühlen ist normal.']"
autolampe,objekte,Möbel zum Arbeiten (Variante),1,"['Das ist ein autolampe.', 'Ich brauche einen autolampe.', 'Der autolampe ist hier.']"
lernen_var115,aktionen,Problem beheben (Variante),4,"['Ich lernen_var115 darüber.', 'Wir müssen lernen_var115.', 'Lernen_var115 ist wichtig.']"
kriechengehen,bewegungen,Sehr schnell laufen (Variante),2,"['Ich kann kriechengehen.', 'Wir kriechengehen zusammen.', 'Kriechengehen ist eine Bewegung.']"
achtsieben,zahlen,Zahl 10 (Variante),1,"['Ich zähle bis achtsieben.', 'Achtsieben Dinge.', 'Das sind achtsieben Objekte.']"
schwimmenlaufen,bewegungen,Sich in die Luft bewegen (Variante),2,"['Ich kann schwimmenlaufen.', 'Wir schwimmenlaufen zusammen.', 'Schwimmenlaufen ist eine Bewegung.']"
hungrigkrank,zustände,Bedürfnis nach Schlaf (Variante),2,"['Ich bin hungrigkrank.', 'Du siehst hungrigkrank aus.', 'Hungrigkrank fühlen ist normal.']"
kaltgesund,zustände,Nicht schläfrig (Variante),2,"['Ich bin kaltgesund.', 'Du siehst kaltgesund aus.', 'Kaltgesund fühlen ist normal.']"
auto_var119,objekte,Gebäude zum Wohnen (Variante),1,"['Das ist ein auto_var119.', 'Ich brauche einen auto_var119.', 'Der auto_var119 ist hier.']"
deshalbeinige,logik,Alternative (Variante),5,"['Deshalbeinige das stimmt.', 'Das ist deshalbeinige wahr.', 'Deshalbeinige bedeutet...']"
schwarzrosa,farben,Farbe der Blätter (Variante),1,"['Das ist schwarzrosa.', 'Ich sehe etwas schwarzrosaes.', 'Schwarzrosa ist eine Farbe.']"
lampe_var126,objekte,Gerät zur Kommunikation (Variante),1,"['Das ist ein lampe_var126.', 'Ich brauche einen lampe_var126.', 'Der lampe_var126 ist hier.']"
entscheiden_var111,aktionen,Etwas Neues schaffen (Variante),4,"['Ich entscheiden_var111 darüber.', 'Wir müssen entscheiden_var111.', 'Entscheiden_var111 ist wichtig.']"
dannobwohl,logik,Verbindung (Variante),5,"['Dannobwohl das stimmt.', 'Das ist dannobwohl wahr.', 'Dannobwohl bedeutet...']"
schwarz_var135,farben,Mischfarbe rot-blau (Variante),1,"['Das ist schwarz_var135.', 'Ich sehe etwas schwarz_var135es.', 'Schwarz_var135 ist eine Farbe.']"
nichtalle,logik,Verbindung (Variante),5,"['Nichtalle das stimmt.', 'Das ist nichtalle wahr.', 'Nichtalle bedeutet...']"
kriechen_var139,bewegungen,Sich langsam fortbewegen (Variante),2,"['Ich kann kriechen_var139.', 'Wir kriechen_var139 zusammen.', 'Kriechen_var139 ist eine Bewegung.']"
rollen_var128,bewegungen,Sich am Boden fortbewegen (Variante),2,"['Ich kann rollen_var128.', 'Wir rollen_var128 zusammen.', 'Rollen_var128 ist eine Bewegung.']"
laufen_var105,bewegungen,Sich schnell fortbewegen (Variante),2,"['Ich kann laufen_var105.', 'Wir laufen_var105 zusammen.', 'Laufen_var105 ist eine Bewegung.']"
satt_var118,zustände,Körperlich nicht in Ordnung (Variante),2,"['Ich bin satt_var118.', 'Du siehst satt_var118 aus.', 'Satt_var118 fühlen ist normal.']"
einsneun,zahlen,Zahl 2 (Variante),1,"['Ich zähle bis einsneun.', 'Einsneun Dinge.', 'Das sind einsneun Objekte.']"
dreineun,zahlen,Zahl 10 (Variante),1,"['Ich zähle bis dreineun.', 'Dreineun Dinge.', 'Das sind dreineun Objekte.']"
deshalbwenn,logik,Bedingung (Variante),5,"['Deshalbwenn das stimmt.', 'Das ist deshalbwenn wahr.', 'Deshalbwenn bedeutet...']"
schwarz_var116,farben,Farbe der Erde (Variante),1,"['Das ist schwarz_var116.', 'Ich sehe etwas schwarz_var116es.', 'Schwarz_var116 ist eine Farbe.']"
wenn_var120,logik,Schlussfolgerung (Variante),5,"['Wenn_var120 das stimmt.', 'Das ist wenn_var120 wahr.', 'Wenn_var120 bedeutet...']"
laufenspringen,bewegungen,Sich schnell fortbewegen (Variante),2,"['Ich kann laufenspringen.', 'Wir laufenspringen zusammen.', 'Laufenspringen ist eine Bewegung.']"
planen_var119,aktionen,Vorgehensweise festlegen (Variante),4,"['Ich planen_var119 darüber.', 'Wir müssen planen_var119.', 'Planen_var119 ist wichtig.']"
rosaweiß,farben,Farbe des Himmels (Variante),1,"['Das ist rosaweiß.', 'Ich sehe etwas rosaweißes.', 'Rosaweiß ist eine Farbe.']"
warmwach,zustände,Bedürfnis nach Schlaf (Variante),2,"['Ich bin warmwach.', 'Du siehst warmwach aus.', 'Warmwach fühlen ist normal.']"
entscheidenlösen,aktionen,Geistige Tätigkeit (Variante),4,"['Ich entscheidenlösen darüber.', 'Wir müssen entscheidenlösen.', 'Entscheidenlösen ist wichtig.']"
einige_var138,logik,Folge (Variante),5,"['Einige_var138 das stimmt.', 'Das ist einige_var138 wahr.', 'Einige_var138 bedeutet...']"
neunzwei,zahlen,Zahl 9 (Variante),1,"['Ich zähle bis neunzwei.', 'Neunzwei Dinge.', 'Das sind neunzwei Objekte.']"
analysieren_var131,aktionen,Qualität beurteilen (Variante),4,"['Ich analysieren_var131 darüber.', 'Wir müssen analysieren_var131.', 'Analysieren_var131 ist wichtig.']"
tische,objekte,Gebäude zum Wohnen (Variante),1,"['Das ist ein tische.', 'Ich brauche einen tische.', 'Der tische ist hier.']"
wach,zustände,Nicht schläfrig,2,"['Ich bin wach.', 'Du siehst wach aus.', 'Wach fühlen ist normal.']"
krankglücklich,zustände,Körperlich nicht in Ordnung (Variante),2,"['Ich bin krankglücklich.', 'Du siehst krankglücklich aus.', 'Krankglücklich fühlen ist normal.']"
dreiacht,zahlen,Zahl 10 (Variante),1,"['Ich zähle bis dreiacht.', 'Dreiacht Dinge.', 'Das sind dreiacht Objekte.']"
lampe,objekte,Gerät für Licht,1,"['Das ist ein lampe.', 'Ich brauche einen lampe.', 'Der lampe ist hier.']"
siebenzehn,zahlen,Zahl 9 (Variante),1,"['Ich zähle bis siebenzehn.', 'Siebenzehn Dinge.', 'Das sind siebenzehn Objekte.']"
satthungrig,zustände,Körperlich nicht in Ordnung (Variante),2,"['Ich bin satthungrig.', 'Du siehst satthungrig aus.', 'Satthungrig fühlen ist normal.']"
tanzenlaufen,bewegungen,Sich im Wasser fortbewegen (Variante),2,"['Ich kann tanzenlaufen.', 'Wir tanzenlaufen zusammen.', 'Tanzenlaufen ist eine Bewegung.']"
oderwenn,logik,Schlussfolgerung (Variante),5,"['Oderwenn das stimmt.', 'Das ist oderwenn wahr.', 'Oderwenn bedeutet...']"
warmkrank,zustände,Hohe Temperatur (Variante),2,"['Ich bin warmkrank.', 'Du siehst warmkrank aus.', 'Warmkrank fühlen ist normal.']"
kriechenspringen,bewegungen,Reibungslos bewegen (Variante),2,"['Ich kann kriechenspringen.', 'Wir kriechenspringen zusammen.', 'Kriechenspringen ist eine Bewegung.']"
computer,objekte,Elektronisches Gerät,1,"['Das ist ein computer.', 'Ich brauche einen computer.', 'Der computer ist hier.']"
hause,objekte,Große Pflanze mit Stamm (Variante),1,"['Das ist ein hause.', 'Ich brauche einen hause.', 'Der hause ist hier.']"
entscheidenanalysieren,aktionen,Verständlich machen (Variante),4,"['Ich entscheidenanalysieren darüber.', 'Wir müssen entscheidenanalysieren.', 'Entscheidenanalysieren ist wichtig.']"
auto_var115,objekte,Öffnung in der Wand (Variante),1,"['Das ist ein auto_var115.', 'Ich brauche einen auto_var115.', 'Der auto_var115 ist hier.']"
gleiten,bewegungen,Reibungslos bewegen,2,"['Ich kann gleiten.', 'Wir gleiten zusammen.', 'Gleiten ist eine Bewegung.']"
undnicht,logik,Bedingung (Variante),5,"['Undnicht das stimmt.', 'Das ist undnicht wahr.', 'Undnicht bedeutet...']"
hungrig_var116,zustände,Niedrige Temperatur (Variante),2,"['Ich bin hungrig_var116.', 'Du siehst hungrig_var116 aus.', 'Hungrig_var116 fühlen ist normal.']"
braunorange,farben,Farbe der Erde (Variante),1,"['Das ist braunorange.', 'Ich sehe etwas braunorangees.', 'Braunorange ist eine Farbe.']"
baum_var114,objekte,Elektronisches Gerät (Variante),1,"['Das ist ein baum_var114.', 'Ich brauche einen baum_var114.', 'Der baum_var114 ist hier.']"
autoe,objekte,Sammlung von Seiten (Variante),1,"['Das ist ein autoe.', 'Ich brauche einen autoe.', 'Der autoe ist hier.']"
fliegentanzen,bewegungen,Sich am Boden fortbewegen (Variante),2,"['Ich kann fliegentanzen.', 'Wir fliegentanzen zusammen.', 'Fliegentanzen ist eine Bewegung.']"
achtsechs,zahlen,Zahl 3 (Variante),1,"['Ich zähle bis achtsechs.', 'Achtsechs Dinge.', 'Das sind achtsechs Objekte.']"
violettbraun,farben,Farbe der Blätter (Variante),1,"['Das ist violettbraun.', 'Ich sehe etwas violettbraunes.', 'Violettbraun ist eine Farbe.']"
springenfliegen,bewegungen,Sich schnell fortbewegen (Variante),2,"['Ich kann springenfliegen.', 'Wir springenfliegen zusammen.', 'Springenfliegen ist eine Bewegung.']"
entscheidenerschaffen,aktionen,Qualität beurteilen (Variante),4,"['Ich entscheidenerschaffen darüber.', 'Wir müssen entscheidenerschaffen.', 'Entscheidenerschaffen ist wichtig.']"
orangeweiß,farben,Mischfarbe rot-gelb (Variante),1,"['Das ist orangeweiß.', 'Ich sehe etwas orangeweißes.', 'Orangeweiß ist eine Farbe.']"
lampetisch,objekte,Möbel zum Arbeiten (Variante),1,"['Das ist ein lampetisch.', 'Ich brauche einen lampetisch.', 'Der lampetisch ist hier.']"
bewertenerklären,aktionen,Systematisch untersuchen (Variante),4,"['Ich bewertenerklären darüber.', 'Wir müssen bewertenerklären.', 'Bewertenerklären ist wichtig.']"
traurigsatt,zustände,Niedrige Temperatur (Variante),2,"['Ich bin traurigsatt.', 'Du siehst traurigsatt aus.', 'Traurigsatt fühlen ist normal.']"
wach_var111,zustände,Nicht schläfrig (Variante),2,"['Ich bin wach_var111.', 'Du siehst wach_var111 aus.', 'Wach_var111 fühlen ist normal.']"
buchauto,objekte,Fahrzeug für Straßen (Variante),1,"['Das ist ein buchauto.', 'Ich brauche einen buchauto.', 'Der buchauto ist hier.']"
haus_var135,objekte,Große Pflanze mit Stamm (Variante),1,"['Das ist ein haus_var135.', 'Ich brauche einen haus_var135.', 'Der haus_var135 ist hier.']"
lernen,aktionen,Wissen aufnehmen,4,"['Ich lernen darüber.', 'Wir müssen lernen.', 'Lernen ist wichtig.']"
dreisieben,zahlen,Zahl 3 (Variante),1,"['Ich zähle bis dreisieben.', 'Dreisieben Dinge.', 'Das sind dreisieben Objekte.']"
nichtoder,logik,Folge (Variante),5,"['Nichtoder das stimmt.', 'Das ist nichtoder wahr.', 'Nichtoder bedeutet...']"
denken,aktionen,Geistige Tätigkeit,4,"['Ich denken darüber.', 'Wir müssen denken.', 'Denken ist wichtig.']"
kalttraurig,zustände,Bedürfnis nach Schlaf (Variante),2,"['Ich bin kalttraurig.', 'Du siehst kalttraurig aus.', 'Kalttraurig fühlen ist normal.']"
springenlaufen,bewegungen,Reibungslos bewegen (Variante),2,"['Ich kann springenlaufen.', 'Wir springenlaufen zusammen.', 'Springenlaufen ist eine Bewegung.']"
schwarzweiß,farben,Farbe der Sonne (Variante),1,"['Das ist schwarzweiß.', 'Ich sehe etwas schwarzweißes.', 'Schwarzweiß ist eine Farbe.']"
wenn_var116,logik,Bedingung (Variante),5,"['Wenn_var116 das stimmt.', 'Das ist wenn_var116 wahr.', 'Wenn_var116 bedeutet...']"
grünschwarz,farben,Farbe der Erde (Variante),1,"['Das ist grünschwarz.', 'Ich sehe etwas grünschwarzes.', 'Grünschwarz ist eine Farbe.']"
einige,logik,Teilmenge,5,"['Einige das stimmt.', 'Das ist einige wahr.', 'Einige bedeutet...']"
hausstuhl,objekte,Sammlung von Seiten (Variante),1,"['Das ist ein hausstuhl.', 'Ich brauche einen hausstuhl.', 'Der hausstuhl ist hier.']"
weilalle,logik,Vollständige Menge (Variante),5,"['Weilalle das stimmt.', 'Das ist weilalle wahr.', 'Weilalle bedeutet...']"
gesundsatt,zustände,Niedrige Temperatur (Variante),2,"['Ich bin gesundsatt.', 'Du siehst gesundsatt aus.', 'Gesundsatt fühlen ist normal.']"
zehnsechs,zahlen,Zahl 1 (Variante),1,"['Ich zähle bis zehnsechs.', 'Zehnsechs Dinge.', 'Das sind zehnsechs Objekte.']"
einigeund,logik,Schlussfolgerung (Variante),5,"['Einigeund das stimmt.', 'Das ist einigeund wahr.', 'Einigeund bedeutet...']"
neunvier,zahlen,Zahl 7 (Variante),1,"['Ich zähle bis neunvier.', 'Neunvier Dinge.', 'Das sind neunvier Objekte.']"
entscheiden_var125,aktionen,Qualität beurteilen (Variante),4,"['Ich entscheiden_var125 darüber.', 'Wir müssen entscheiden_var125.', 'Entscheiden_var125 ist wichtig.']"
tanzen_var123,bewegungen,Sich am Boden fortbewegen (Variante),2,"['Ich kann tanzen_var123.', 'Wir tanzen_var123 zusammen.', 'Tanzen_var123 ist eine Bewegung.']"
müdekrank,zustände,Körperlich in Ordnung (Variante),2,"['Ich bin müdekrank.', 'Du siehst müdekrank aus.', 'Müdekrank fühlen ist normal.']"
blaue,farben,Farbe des Himmels (Variante),1,"['Das ist blaue.', 'Ich sehe etwas blauees.', 'Blaue ist eine Farbe.']"
sechssieben,zahlen,Zahl 2 (Variante),1,"['Ich zähle bis sechssieben.', 'Sechssieben Dinge.', 'Das sind sechssieben Objekte.']"
telefon,objekte,Gerät zur Kommunikation,1,"['Das ist ein telefon.', 'Ich brauche einen telefon.', 'Der telefon ist hier.']"
vierzwei,zahlen,Zahl 4 (Variante),1,"['Ich zähle bis vierzwei.', 'Vierzwei Dinge.', 'Das sind vierzwei Objekte.']"
blauschwarz,farben,Farbe des Blutes (Variante),1,"['Das ist blauschwarz.', 'Ich sehe etwas blauschwarzes.', 'Blauschwarz ist eine Farbe.']"
zehnvier,zahlen,Zahl 9 (Variante),1,"['Ich zähle bis zehnvier.', 'Zehnvier Dinge.', 'Das sind zehnvier Objekte.']"
tanzenspringen,bewegungen,Sich langsam fortbewegen (Variante),2,"['Ich kann tanzenspringen.', 'Wir tanzenspringen zusammen.', 'Tanzenspringen ist eine Bewegung.']"
neunfünf,zahlen,Zahl 7 (Variante),1,"['Ich zähle bis neunfünf.', 'Neunfünf Dinge.', 'Das sind neunfünf Objekte.']"
erklärenlösen,aktionen,Systematisch untersuchen (Variante),4,"['Ich erklärenlösen darüber.', 'Wir müssen erklärenlösen.', 'Erklärenlösen ist wichtig.']"
verstehenentscheiden,aktionen,Systematisch untersuchen (Variante),4,"['Ich verstehenentscheiden darüber.', 'Wir müssen verstehenentscheiden.', 'Verstehenentscheiden ist wichtig.']"
vierneun,zahlen,Zahl 1 (Variante),1,"['Ich zähle bis vierneun.', 'Vierneun Dinge.', 'Das sind vierneun Objekte.']"
fünfzehn,zahlen,Zahl 5 (Variante),1,"['Ich zähle bis fünfzehn.', 'Fünfzehn Dinge.', 'Das sind fünfzehn Objekte.']"
lernen_var117,aktionen,Systematisch untersuchen (Variante),4,"['Ich lernen_var117 darüber.', 'Wir müssen lernen_var117.', 'Lernen_var117 ist wichtig.']"
einszehn,zahlen,Zahl 8 (Variante),1,"['Ich zähle bis einszehn.', 'Einszehn Dinge.', 'Das sind einszehn Objekte.']"
kaltglücklich,zustände,Nicht schläfrig (Variante),2,"['Ich bin kaltglücklich.', 'Du siehst kaltglücklich aus.', 'Kaltglücklich fühlen ist normal.']"
einigenicht,logik,Alternative (Variante),5,"['Einigenicht das stimmt.', 'Das ist einigenicht wahr.', 'Einigenicht bedeutet...']"
warmsatt,zustände,Niedrige Temperatur (Variante),2,"['Ich bin warmsatt.', 'Du siehst warmsatt aus.', 'Warmsatt fühlen ist normal.']"
achtzwei,zahlen,Zahl 5 (Variante),1,"['Ich zähle bis achtzwei.', 'Achtzwei Dinge.', 'Das sind achtzwei Objekte.']"
haus_var136,objekte,Große Pflanze mit Stamm (Variante),1,"['Das ist ein haus_var136.', 'Ich brauche einen haus_var136.', 'Der haus_var136 ist hier.']"
sattgesund,zustände,Bedürfnis nach Schlaf (Variante),2,"['Ich bin sattgesund.', 'Du siehst sattgesund aus.', 'Sattgesund fühlen ist normal.']"
gesundhungrig,zustände,Gefühl nach dem Essen (Variante),2,"['Ich bin gesundhungrig.', 'Du siehst gesundhungrig aus.', 'Gesundhungrig fühlen ist normal.']"
deshalb,logik,Schlussfolgerung,5,"['Deshalb das stimmt.', 'Das ist deshalb wahr.', 'Deshalb bedeutet...']"
orangebraun,farben,Mischfarbe rot-gelb (Variante),1,"['Das ist orangebraun.', 'Ich sehe etwas orangebraunes.', 'Orangebraun ist eine Farbe.']"
wache,zustände,Körperlich in Ordnung (Variante),2,"['Ich bin wache.', 'Du siehst wache aus.', 'Wache fühlen ist normal.']"
rollenlaufen,bewegungen,Rhythmische Bewegung (Variante),2,"['Ich kann rollenlaufen.', 'Wir rollenlaufen zusammen.', 'Rollenlaufen ist eine Bewegung.']"
fliegen_var103,bewegungen,Sich im Wasser fortbewegen (Variante),2,"['Ich kann fliegen_var103.', 'Wir fliegen_var103 zusammen.', 'Fliegen_var103 ist eine Bewegung.']"
bewertenlernen,aktionen,Problem beheben (Variante),4,"['Ich bewertenlernen darüber.', 'Wir müssen bewertenlernen.', 'Bewertenlernen ist wichtig.']"
entscheidenverstehen,aktionen,Vorgehensweise festlegen (Variante),4,"['Ich entscheidenverstehen darüber.', 'Wir müssen entscheidenverstehen.', 'Entscheidenverstehen ist wichtig.']"
laufengehen,bewegungen,Rhythmische Bewegung (Variante),2,"['Ich kann laufengehen.', 'Wir laufengehen zusammen.', 'Laufengehen ist eine Bewegung.']"
sieben_var111,zahlen,Zahl 5 (Variante),1,"['Ich zähle bis sieben_var111.', 'Sieben_var111 Dinge.', 'Das sind sieben_var111 Objekte.']"
siebenvier,zahlen,Zahl 2 (Variante),1,"['Ich zähle bis siebenvier.', 'Siebenvier Dinge.', 'Das sind siebenvier Objekte.']"
viersechs,zahlen,Zahl 9 (Variante),1,"['Ich zähle bis viersechs.', 'Viersechs Dinge.', 'Das sind viersechs Objekte.']"
hungrigwarm,zustände,Körperlich in Ordnung (Variante),2,"['Ich bin hungrigwarm.', 'Du siehst hungrigwarm aus.', 'Hungrigwarm fühlen ist normal.']"
tisch_var110,objekte,Fahrzeug für Straßen (Variante),1,"['Das ist ein tisch_var110.', 'Ich brauche einen tisch_var110.', 'Der tisch_var110 ist hier.']"
lernenerklären,aktionen,Verständlich machen (Variante),4,"['Ich lernenerklären darüber.', 'Wir müssen lernenerklären.', 'Lernenerklären ist wichtig.']"
siebeneins,zahlen,Zahl 1 (Variante),1,"['Ich zähle bis siebeneins.', 'Siebeneins Dinge.', 'Das sind siebeneins Objekte.']"
erklären_var127,aktionen,Geistige Tätigkeit (Variante),4,"['Ich erklären_var127 darüber.', 'Wir müssen erklären_var127.', 'Erklären_var127 ist wichtig.']"
rotviolett,farben,Farbe des Himmels (Variante),1,"['Das ist rotviolett.', 'Ich sehe etwas rotviolettes.', 'Rotviolett ist eine Farbe.']"
violettgelb,farben,Farbe des Himmels (Variante),1,"['Das ist violettgelb.', 'Ich sehe etwas violettgelbes.', 'Violettgelb ist eine Farbe.']"
bewertenerschaffen,aktionen,Vorgehensweise festlegen (Variante),4,"['Ich bewertenerschaffen darüber.', 'Wir müssen bewertenerschaffen.', 'Bewertenerschaffen ist wichtig.']"
bewertenlösen,aktionen,Vorgehensweise festlegen (Variante),4,"['Ich bewertenlösen darüber.', 'Wir müssen bewertenlösen.', 'Bewertenlösen ist wichtig.']"
vier_var139,zahlen,Zahl 4 (Variante),1,"['Ich zähle bis vier_var139.', 'Vier_var139 Dinge.', 'Das sind vier_var139 Objekte.']"
springentanzen,bewegungen,Sehr schnell laufen (Variante),2,"['Ich kann springentanzen.', 'Wir springentanzen zusammen.', 'Springentanzen ist eine Bewegung.']"
danndeshalb,logik,Verbindung (Variante),5,"['Danndeshalb das stimmt.', 'Das ist danndeshalb wahr.', 'Danndeshalb bedeutet...']"
orangeschwarz,farben,Abwesenheit von Licht (Variante),1,"['Das ist orangeschwarz.', 'Ich sehe etwas orangeschwarzes.', 'Orangeschwarz ist eine Farbe.']"
oder_var113,logik,Vollständige Menge (Variante),5,"['Oder_var113 das stimmt.', 'Das ist oder_var113 wahr.', 'Oder_var113 bedeutet...']"
wachgesund,zustände,Nicht schläfrig (Variante),2,"['Ich bin wachgesund.', 'Du siehst wachgesund aus.', 'Wachgesund fühlen ist normal.']"
verstehenlernen,aktionen,Verständlich machen (Variante),4,"['Ich verstehenlernen darüber.', 'Wir müssen verstehenlernen.', 'Verstehenlernen ist wichtig.']"
zehn_var118,zahlen,Zahl 8 (Variante),1,"['Ich zähle bis zehn_var118.', 'Zehn_var118 Dinge.', 'Das sind zehn_var118 Objekte.']"
obwohldann,logik,Vollständige Menge (Variante),5,"['Obwohldann das stimmt.', 'Das ist obwohldann wahr.', 'Obwohldann bedeutet...']"
baumfenster,objekte,Öffnung in der Wand (Variante),1,"['Das ist ein baumfenster.', 'Ich brauche einen baumfenster.', 'Der baumfenster ist hier.']"
allee,logik,Verbindung (Variante),5,"['Allee das stimmt.', 'Das ist allee wahr.', 'Allee bedeutet...']"
blaugrün,farben,Helle rote Farbe (Variante),1,"['Das ist blaugrün.', 'Ich sehe etwas blaugrünes.', 'Blaugrün ist eine Farbe.']"
hungriggesund,zustände,Körperlich nicht in Ordnung (Variante),2,"['Ich bin hungriggesund.', 'Du siehst hungriggesund aus.', 'Hungriggesund fühlen ist normal.']"
fünfdrei,zahlen,Zahl 1 (Variante),1,"['Ich zähle bis fünfdrei.', 'Fünfdrei Dinge.', 'Das sind fünfdrei Objekte.']"
traurigkalt,zustände,Negative Emotion (Variante),2,"['Ich bin traurigkalt.', 'Du siehst traurigkalt aus.', 'Traurigkalt fühlen ist normal.']"
vierfünf,zahlen,Zahl 10 (Variante),1,"['Ich zähle bis vierfünf.', 'Vierfünf Dinge.', 'Das sind vierfünf Objekte.']"
rollengleiten,bewegungen,Sich langsam fortbewegen (Variante),2,"['Ich kann rollengleiten.', 'Wir rollengleiten zusammen.', 'Rollengleiten ist eine Bewegung.']"
glücklichhungrig,zustände,Nicht schläfrig (Variante),2,"['Ich bin glücklichhungrig.', 'Du siehst glücklichhungrig aus.', 'Glücklichhungrig fühlen ist normal.']"
